User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,Subscription_Start,Loyalty,Usage_Ratio,Churn_Flag
1,James Martinez,18,France,Premium,80.26,Drama,2024-05-12,2023-12-23,3384,0.024013002364066196,1
2,John Miller,23,USA,Premium,321.75,Sci-Fi,2025-02-05,2024-09-09,3576,0.09025447427293065,0
3,Emma Davis,60,UK,Basic,35.89,Comedy,2025-01-24,2024-10-30,2064,0.017873062015503875,0
4,Emma Miller,44,USA,Premium,261.56,Documentary,2024-03-25,2023-12-01,2760,0.0951304347826087,0
5,Jane Smith,68,USA,Standard,909.3,Drama,2025-01-14,2024-08-15,3648,0.24953399122807016,0
6,David Johnson,21,USA,Standard,615.93,Romance,2025-02-03,2024-02-22,8328,0.07407901056676272,0
7,John Hernandez,57,Canada,Standard,755.47,Romance,2025-01-05,2023-12-06,9504,0.0795949074074074,0
8,Katie Hernandez,68,USA,Standard,145.23,Sci-Fi,2024-10-30,2024-04-26,4488,0.03258244206773618,0
9,James Williams,39,UK,Basic,950.14,Action,2024-04-16,2023-10-12,4488,0.2119295900178253,0
10,Alex Davis,55,Mexico,Standard,696.66,Horror,2024-07-03,2023-11-17,5496,0.1269395924308588,1
11,Jane Miller,26,Japan,Standard,290.31,Action,2024-09-11,2024-01-06,5976,0.048746653279785813,1
12,Jane Martinez,62,USA,Standard,490.39,Action,2024-06-12,2023-10-14,5808,0.08460571625344353,0
13,Alex Martinez,65,Australia,Premium,712.23,Comedy,2024-08-08,2024-03-16,3480,0.20495114942528736,0
14,Alex Smith,35,Germany,Premium,73.63,Sci-Fi,2024-10-02,2024-02-14,5544,0.01346139971139971,1
15,Michael Jones,68,USA,Premium,359.3,Sci-Fi,2024-07-25,2023-12-09,5496,0.06555676855895197,0
16,Chris Miller,39,Australia,Premium,768.19,Comedy,2024-10-11,2024-06-09,2976,0.2584643817204301,0
17,Chris Davis,74,UK,Standard,610.7,Drama,2024-07-03,2023-08-03,8040,0.07608208955223882,0
18,Emma Williams,59,Canada,Premium,813.46,Documentary,2024-08-08,2023-07-23,9168,0.08883726003490401,0
19,Alex Johnson,63,Brazil,Premium,963.64,Action,2024-08-08,2024-01-25,4704,0.20506802721088435,0
20,John Jones,67,Canada,Standard,460.6,Comedy,2024-12-07,2024-02-12,7176,0.06432552954292085,0
21,Michael Williams,47,France,Standard,637.43,Horror,2025-01-21,2024-09-15,3072,0.20782226562499997,0
22,James Martinez,46,UK,Premium,620.74,Comedy,2024-04-19,2024-02-04,1800,0.3454111111111111,0
23,Sarah Davis,40,UK,Basic,451.59,Drama,2024-04-08,2023-08-08,5856,0.07728654371584699,0
24,John Smith,46,UK,Basic,388.91,Horror,2024-10-16,2024-07-02,2544,0.15326650943396228,0
25,Alex Brown,37,Canada,Basic,418.2,Horror,2024-05-26,2023-10-18,5304,0.07903469079939668,0
26,Chris Johnson,26,Brazil,Premium,95.46,Sci-Fi,2024-08-23,2024-01-14,5328,0.018104354354354354,1
27,James Jones,17,Mexico,Standard,253.6,Documentary,2024-09-29,2024-01-04,6456,0.0394361833952912,1
28,Michael Johnson,37,France,Premium,936.05,Comedy,2025-01-07,2024-02-11,7944,0.11795694864048338,0
29,Michael Johnson,59,Mexico,Basic,971.97,Drama,2024-11-03,2024-06-13,3432,0.28349941724941724,0
30,Sarah Smith,67,Australia,Basic,542.57,Action,2025-02-11,2024-06-22,5616,0.09678952991452992,0
